Date,Open,High,Low,Close,Volume,OpenInt
2012-08-13,8.8,8.8,8.35,8.45,2018,0
2012-08-14,8.45,8.5,8.05,8.3,1202,0
2012-08-15,8,8.4,7.55,7.75,2579,0
2012-08-16,7.75,8.1555,7.75,8,1018,0
2012-08-17,7.75,8.095,7.5,7.65,2313,0
2012-08-20,7.6995,7.9945,7.6,7.75,2768,0
2012-08-21,7.7,7.7,7.6,7.6125,1540,0
2012-08-22,7.75,7.975,7.75,7.975,257,0
2012-08-23,8.05,8.45,7.7555,8.05,1150,0
2012-08-24,8.05,8.05,7.75,8.05,692,0
2012-08-27,7.75,8.3,7.75,8.2,3018,0
2012-08-28,8.35,8.35,8,8.2445,704,0
2012-08-29,8.25,10.25,8.25,9.75,27313,0
2012-08-30,9.85,10.5,9.75,10,5533,0
2012-08-31,10.15,10.35,9.8,9.8,3188,0
2012-09-04,10,10.5,8.95,9.949,2016,0
2012-09-05,9.2,10.5,8.5,10.45,5267,0
2012-09-06,10,10,9.095,9.45,1495,0
2012-09-07,9.5,9.8,9.4,9.45,952,0
2012-09-10,9.5,9.5,9,9,1957,0
2012-09-11,9.45,9.45,9,9.3415,4708,0
2012-09-12,9.4,9.4,9,9.2,1052,0
2012-09-13,9.4,9.75,8.9,8.9,2997,0
2012-09-14,9,9.145,8.8,9.145,554,0
2012-09-17,9.25,9.25,8.5,8.75,2540,0
2012-09-18,8.6,9.25,8.5,9.195,6118,0
2012-09-19,8.85,9.1495,8.5505,9.095,1847,0
2012-09-20,9,9.3,8.9,9.25,3350,0
2012-09-21,8.65,9.1495,8.35,8.35,6416,0
2012-09-24,8.45,8.95,8.45,8.8,3218,0
2012-09-25,8.75,8.85,8.45,8.75,639,0
2012-09-26,8.5,8.5005,8.35,8.4,1218,0
2012-09-27,8.35,8.65,8.3,8.6415,5016,0
2012-09-28,8.4,8.5,8.3,8.302,1347,0
2012-10-01,8.6,8.7495,8.5,8.7495,1475,0
2012-10-02,8.9,8.9,8.3,8.45,3523,0
2012-10-03,8.3,8.4995,8.1,8.25,2013,0
2012-10-04,8.4,8.45,8.1,8.4,1270,0
2012-10-05,8.3,8.3995,8.0505,8.3915,2028,0
2012-10-08,8.25,8.3,8,8.2,2203,0
2012-10-09,8.15,8.1995,8,8,2437,0
2012-10-10,8.01,8.01,7.9,7.9,2625,0
2012-10-11,7.85,7.9,7.7,7.7,6292,0
2012-10-12,7.65,7.8,7.65,7.7,17279,0
2012-10-15,7.9,7.9,7.6,7.7,1059,0
2012-10-16,7.6,7.85,7.6,7.85,3017,0
2012-10-17,7.65,8.2445,7.6,7.75,7879,0
2012-10-18,7.6,7.8495,7.5,7.8495,2193,0
2012-10-19,7.85,7.85,7.5,7.691,1678,0
2012-10-22,7.55,7.6915,7.5,7.65,1308,0
2012-10-23,7.5,7.65,7.5,7.55,3806,0
2012-10-24,7.5,7.936,7.5,7.7,513,0
2012-10-25,7.6,8,7.5,7.9,1300,0
2012-10-26,7.95,8.25,7.9,8.25,2506,0
2012-10-31,8.4,8.45,7.635,8,4250,0
2012-11-01,7.75,8,7.55,7.65,6236,0
2012-11-02,7.8,8.3495,7.8,8.2,1156,0
2012-11-05,8,8.35,7.5,8.3,8157,0
2012-11-06,8,8.25,7.65,7.75,3836,0
2012-11-07,7.75,8,7.6,7.95,4179,0
2012-11-08,8.05,8.4,8,8.341,5550,0
2012-11-09,8.15,9.5,8.15,9.45,7362,0
2012-11-12,9.45,9.45,8.5,9.45,2181,0
2012-11-13,8.9005,9.3495,8.8505,9.3495,397,0
2012-11-14,9.2495,9.25,8.7,9.225,2353,0
2012-11-15,8.8,9.1,8.05,9.1,2072,0
2012-11-16,8.3,9.25,8.3,8.75,1080,0
2012-11-19,8.75,8.75,8.25,8.4,185,0
2012-11-20,8.45,8.45,8.4,8.449,694,0
2012-11-21,8.25,8.25,7.55,8.05,8728,0
2012-11-23,7.65,8.1,7.6,7.9,620,0
2012-11-26,7.65,8.15,7.6,8.15,2079,0
2012-11-27,7.85,9.3,7.6,9.3,9034,0
2012-11-28,8.5005,9.2,8.5,9.15,2346,0
2012-11-29,8.85,9.2285,8.5,8.55,2287,0
2012-11-30,8.95,9.3,8.65,9.3,4120,0
2012-12-03,9.296,9.3,8.685,9.3,1541,0
2012-12-04,8.5505,9.45,8.5505,9.45,2233,0
2012-12-05,8.6505,9.35,8.6505,8.926,1535,0
2012-12-06,9,9.11,8.3,8.55,2267,0
2012-12-07,8.55,9.075,8.4,8.5,339,0
2012-12-10,8.45,9.25,8.05,8.15,2717,0
2012-12-11,8.25,8.5,8.05,8.05,1864,0
2012-12-12,8.15,8.5,8,8.05,1929,0
2012-12-13,8,9,7.75,9,3361,0
2012-12-14,8.8,10.4,8.2,10.4,21313,0
2012-12-17,10.05,11,9.05,9.1,18239,0
2012-12-18,9.5,9.75,8.55,9.541,9114,0
2012-12-19,9.6,9.6,8.75,8.75,733,0
2012-12-20,9.1495,11,9.1,9.926,18272,0
2012-12-21,10,10.75,9.65,9.65,6980,0
2012-12-24,10.05,10.3,9.17,10.264,2417,0
2012-12-26,10.45,10.741,10,10.1,5177,0
2012-12-27,10.05,10.05,9.55,9.88,3475,0
2012-12-28,10.05,11,9.85,10.95,21037,0
2012-12-31,11.6,12.15,10,11,19216,0
